username,tweetcreatedts,text
DRonodipuro,2021-11-17 23:57:23,"Daftar penyakit yang perlu perhatian lebih sebelum vaksin
#BeraniVaksinKeren #PMISelaluBantu #VaksinCovid19 https://t.co/PDrYhv6LNh"
nusabalicom,2021-11-17 23:45:25,"Tinggal 5,69 Persen Warga Tabanan Belum Divaksin Covid-19 https://t.co/dAiJ2HjLa9 #berita #nusabali #VaksinCovid19 #DinkesTabanan"
WantedTeenZ,2021-11-17 23:17:12,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe"
AndyTantono,2021-11-17 22:38:17,Sabar! Vaksinasi anak usia 6-11 tahun dimulai tahun 2022  https://t.co/m3DyBdVLGH #VaksinCovid-19
KontanNews,2021-11-17 22:30:03,Sabar! Vaksinasi anak usia 6-11 tahun dimulai tahun 2022  https://t.co/m3DyBdVLGH #VaksinCovid-19
PSaratok,2021-11-17 18:26:14,"Lebih 22 juta populasi dewasa Malaysia lengkap vaksin

https://t.co/5aKnV9qTRb

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks @KKMPutrajaya @DGHisham @Khairykj https://t.co/rSXSip5Ymw"
PSaratok,2021-11-17 18:22:04,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe"
ainieelah,2021-11-17 17:30:09,"Lebih 22 juta populasi dewasa Malaysia lengkap vaksin

https://t.co/5aKnV9qTRb

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks @KKMPutrajaya @DGHisham @Khairykj https://t.co/rSXSip5Ymw"
ainieelah,2021-11-17 17:24:48,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe"
DNurgiantoro,2021-11-17 16:20:32,"SI SAMBENG
Di Gedung Serba Guna Pemalang
Senin - Sabtu pukul 16.00 - 21.00 WIB
Vaksin aman dan halal

@ariwibowo202
@DivHumas_Polri
@poldajateng_

#pemalang #vaksin #kabarpemalang #info #kabargembira https://t.co/rJ2xOW4oH3"
