,username,tweetcreatedts,text,english
0,DRonodipuro,2021-11-17 23:57:23,"Daftar penyakit yang perlu perhatian lebih sebelum vaksin
#BeraniVaksinKeren #PMISelaluBantu #VaksinCovid19 https://t.co/PDrYhv6LNh","List of diseases that need more attention before the vaccine
#Bankanivakinkeren #PmiseLuBantu # vaccinCovid19 https://t.co/pdryhv6LNH"
1,nusabalicom,2021-11-17 23:45:25,"Tinggal 5,69 Persen Warga Tabanan Belum Divaksin Covid-19 https://t.co/dAiJ2HjLa9 #berita #nusabali #VaksinCovid19 #DinkesTabanan",Stayed 5.69 percent of Tabanan residents have not been vaccinated covid-19 https://t.co/daij2hjla9 #Berita #NusaBali # VaksinCovid19 #DinkaTabanan
2,WantedTeenZ,2021-11-17 23:17:12,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe","# COVID19: 95.4 Percentage of complete country adult population vaccinated

https://t.co/3cv22te

#Lehindirindirilahuaou #mail #japensarawak #sodiakroks https://t.co/tfeu3lhmce"
3,AndyTantono,2021-11-17 22:38:17,Sabar! Vaksinasi anak usia 6-11 tahun dimulai tahun 2022  https://t.co/m3DyBdVLGH #VaksinCovid-19,Be patient!Vaccination of children aged 6-11 years starts in 2022 https://t.co/m3dybdvlgh # Vaksincovid-19
4,KontanNews,2021-11-17 22:30:03,Sabar! Vaksinasi anak usia 6-11 tahun dimulai tahun 2022  https://t.co/m3DyBdVLGH #VaksinCovid-19,Be patient!Vaccination of children aged 6-11 years starts in 2022 https://t.co/m3dybdvlgh # Vaksincovid-19
5,PSaratok,2021-11-17 18:26:14,"Lebih 22 juta populasi dewasa Malaysia lengkap vaksin

https://t.co/5aKnV9qTRb

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks @KKMPutrajaya @DGHisham @Khairykj https://t.co/rSXSip5Ymw","Over 22 million Malaysian adult populations complete vaccine

https://t.co/5aknv9qtrb

#LeholdDirindirihuAll #menangbersama #Kitajakita #vaksin #japensarawak #sodiakroks @kkmputrajaya @dghisham @khairykj https://t.co/rsxsip5ymw"
6,PSaratok,2021-11-17 18:22:04,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe","# COVID19: 95.4 Percentage of complete country adult population vaccinated

https://t.co/3cv22te

#Lehindirindirilahuaou #mail #japensarawak #sodiakroks https://t.co/tfeu3lhmce"
7,ainieelah,2021-11-17 17:30:09,"Lebih 22 juta populasi dewasa Malaysia lengkap vaksin

https://t.co/5aKnV9qTRb

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks @KKMPutrajaya @DGHisham @Khairykj https://t.co/rSXSip5Ymw","Over 22 million Malaysian adult populations complete vaccine

https://t.co/5aknv9qtrb

#LeholdDirindirihuAll #menangbersama #Kitajakita #vaksin #japensarawak #sodiakroks @kkmputrajaya @dghisham @khairykj https://t.co/rsxsip5ymw"
8,ainieelah,2021-11-17 17:24:48,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe","# COVID19: 95.4 Percentage of complete country adult population vaccinated

https://t.co/3cv22te

#Lehindirindirilahuaou #mail #japensarawak #sodiakroks https://t.co/tfeu3lhmce"
9,DNurgiantoro,2021-11-17 16:20:32,"SI SAMBENG
Di Gedung Serba Guna Pemalang
Senin - Sabtu pukul 16.00 - 21.00 WIB
Vaksin aman dan halal

@ariwibowo202
@DivHumas_Polri
@poldajateng_

#pemalang #vaksin #kabarpemalang #info #kabargembira https://t.co/rJ2xOW4oH3","Si Sambeng
In the Pemalang Multipurpose House
Monday - Saturday at 16.00 - 21.00 WIB
Safe and halal vaccine

@ ariwibowo202.
@Divhumas_polri.
@poldajateng_

#Pemalang #VAKSIN #KabarPemalang #Info #Kabargembira https://t.co/rj2xow4Oh3"
10,DNurgiantoro,2021-11-17 16:19:57,"Segera vaksin segera datang, setiap hari senin - sabtu di Gedung Serba Guna Pemalang.

@ariwibowo202
@DivHumas_Polri
@poldajateng_

#vaksinakhiripandemi #vaksin #pemalang #kabarpemalang #gedungsebagunapemalang #senin #sabtu #pedulilindungi https://t.co/MFicsEpbtY","Immediately the vaccine comes soon, every Monday - Saturday in Pemalang's multi-purpose building.

@ ariwibowo202.
@Divhumas_polri.
@poldajateng_

#VakSinakeriPandemi #VAKSIN #Pemalang #KabarPemalang #gedungSebagunApemalang #Senin #Sabtu #pedulilah https://t.co/mficsepbty"
11,Baharuddinsim26,2021-11-17 15:03:52,"mari putus matai rantai penyebaran virus covid-19 melalu tahapan vaksin
Alhamdulillah sudah vaksin yg ke 2👍

#iloindonesia
#ilojapan
#iloindonesiajapancovid19
#kampanyecovid19
#vaksìncovid19 https://t.co/y2UHZJQEHG","let's finish the chain of the Covid-19 virus spread through the stages of the vaccine
Alhamdulillah already vaccine to 2👍

#iloindonesia.
#ilojapan
# ILOIndonesiaJAPANCovid19.
# Kampanyecovid19
# vaksìncovid19 https://t.co/y2uhzjqehg."
12,Beritasatu,2021-11-17 15:00:38,"Kemenkes Akui Warga Masih Pilih-pilih #Vaksin

Baca selengkapnya 👇

https://t.co/79OCdLqmvU","Ministry of Health Admits Residents Still Who Select #VAKSIN

Read more 👇

https://t.co/79ocdlqmvu."
13,MrsRaaid,2021-11-17 14:47:12,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe","# COVID19: 95.4 Percentage of complete country adult population vaccinated

https://t.co/3cv22te

#Lehindirindirilahuaou #mail #japensarawak #sodiakroks https://t.co/tfeu3lhmce"
14,roszilawatiaziz,2021-11-17 14:46:48,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe","# COVID19: 95.4 Percentage of complete country adult population vaccinated

https://t.co/3cv22te

#Lehindirindirilahuaou #mail #japensarawak #sodiakroks https://t.co/tfeu3lhmce"
15,lampostco,2021-11-17 14:29:39,"Sebanyak 147.651 jiwa atau 118,33% dari sasaran vaksinasi covid-19 di Kota Metro sudah menerima dosis pertama. 
#vaksin #vaccine #vaksinasi #Covid #Covid_19 #lampostco
https://t.co/VXrBWqzwMs","A total of 147,651 people or 118.33% of the Covid-19 vaccination target in Metro City had received the first dose.
#Vaccine #Vaccine #Vaksinasi #Covid # covid_19 #Lampostco
https://t.co/VXRBWQZWMS."
16,rosminabha,2021-11-17 14:15:06,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe","# COVID19: 95.4 Percentage of complete country adult population vaccinated

https://t.co/3cv22te

#Lehindirindirilahuaou #mail #japensarawak #sodiakroks https://t.co/tfeu3lhmce"
17,mdonhim,2021-11-17 14:10:59,"#COVID19 : 95.4 peratus populasi dewasa negara lengkap divaksinasi

https://t.co/3cV22TeSA4

#LindungDiriLindungSemua #MenangBersama #KitaJagaKita #Vaksin #JapenSarawak #sodiakroks https://t.co/TfeU3lhMCe","# COVID19: 95.4 Percentage of complete country adult population vaccinated

https://t.co/3cv22te

#Lehindirindirilahuaou #mail #japensarawak #sodiakroks https://t.co/tfeu3lhmce"
18,lampostco,2021-11-17 14:09:43,"Vaksinasi covid-19 di Kabupaten Way Kanan sudah mencapai 67,44% atau 230.149 orang dari total sasaran sebanyak 341.283 orang.
#vaksin #Vaksinasi #vaksinwaykanan #Covid_19 #lampostco 
https://t.co/NUoGCZiBp3","Covid-19 vaccination in the right way Way has reached 67.44% or 230,149 people from the total target of 341,283 people.
#VAKSIN #VACKINATION #VAKSInable # Covid_19 #Lampostco
https://t.co/NuogCZIBP3."
